ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788848373.507521776,3237.281908,66.315624,158.404530677,1.890025472e+09,3237314813,66315671,10.69
1788848375.537800388,3241.420757,66.319202,158.411681119,1.89085696e+09,3241453591,66319236,10.69
1788848377.567837759,3245.558302,66.324698,158.42719153,1.890250752e+09,3245593263,66324748,10.69
1788848379.598987366,3249.711459,66.330581,158.440957046,1.890398208e+09,3249744347,66330625,10.24
1788848381.629934345,3253.858682,66.334007,158.446387671,1.890889728e+09,3253889480,66334046,10.24
1788848383.659638604,3258.003402,66.341074,158.46675583,1.891495936e+09,3258036609,66341125,9.58
1788848385.690161340,3262.136754,66.345248,158.468532896,1.892282368e+09,3262167562,66345289,9.58
1788848387.720348208,3266.290301,66.354019,158.499861163,1.8927616e+09,3266335658,66355437,9.58
1788848389.763767543,3270.45319,66.380045,158.595897667,1.89325312e+09,3270488275,66380081,9.29
1788848391.796931074,3274.599441,66.383644,158.598254057,1.893105664e+09,3274632185,66383675,9.29
1788848393.826491445,3278.73409,66.38773,158.615341539,1.893634048e+09,3278767006,66387768,8.71
1788848395.856464425,3282.880747,66.391416,158.619058879,1.894416384e+09,3282917086,66391582,8.71
1788848397.891235959,3287.035142,66.398101,158.641136741,1.894985728e+09,3287069994,66398140,8.71
1788848399.923995699,3291.189423,66.403476,158.662806869,1.896116224e+09,3291226609,66403531,8.41
1788848401.958163705,3295.385671,66.40974,158.681634389,1.899896832e+09,3295417015,66409783,8.41
1788848403.989681982,3299.533686,66.419758,158.71607094,1.89925376e+09,3299566308,66419820,7.98
1788848406.020314442,3303.671569,66.423436,158.721526992,1.90021632e+09,3303706706,66423477,7.98
1788848408.051474189,3307.816159,66.427129,158.726409661,1.901215744e+09,3307848757,66427179,7.98
1788848410.081433977,3311.964235,66.434881,158.752123409,1.901797376e+09,3311997119,66434936,7.66
1788848412.111689031,3316.104697,66.438246,158.753549426,1.902751744e+09,3316145582,66439910,7.66
1788848414.147970322,3320.247029,66.444038,158.773692041,1.903599616e+09,3320281833,66444085,7.20
1788848416.179385344,3324.39089,66.447675,158.781475426,1.904447488e+09,3324430119,66447785,7.20
1788848418.212773066,3328.527941,66.453774,158.80493142,1.90449664e+09,3328569004,66453860,7.20
1788848420.248353334,3332.676085,66.461507,158.82528742,1.904795648e+09,3332708987,66461547,7.11
1788848422.278814928,3336.825748,66.465212,158.832907079,1.905569792e+09,3336856861,66465247,7.11
1788848424.309165546,3340.975007,66.470829,158.847083912,1.906388992e+09,3341007835,66470893,7.02
1788848426.339803985,3345.128131,66.477292,158.861924495,1.907109888e+09,3345165083,66477399,7.02
1788848428.374652129,3349.281922,66.482165,158.871178724,1.908494336e+09,3349321104,66482226,7.02
1788848430.407964897,3353.431411,66.486343,158.877993347,1.9090432e+09,3353464168,66486402,6.86
1788848432.438444090,3357.575092,66.489478,158.887111299,1.908727808e+09,3357610100,66489548,6.86
1788848434.469774113,3361.735247,66.495479,158.905174339,1.909714944e+09,3361768275,66495514,6.47
1788848436.501519143,3365.877169,66.506086,158.930459241,1.910284288e+09,3365910111,66506145,6.47
1788848438.532482911,3370.028107,66.511685,158.9427765,1.911128064e+09,3370063227,66511734,6.35
1788848440.565333264,3374.175917,66.515303,158.948852045,1.912070144e+09,3374211048,66515355,6.35
1788848442.596554269,3378.309695,66.521671,158.960971131,1.913106432e+09,3378340647,66521715,6.35
1788848444.625854546,3382.4529,66.52842,158.975572501,1.91330304e+09,3382486796,66528480,6.00
1788848446.656370907,3386.592084,66.532356,158.988607647,1.913597952e+09,3386627041,66532399,6.00
1788848448.687689239,3390.742523,66.539846,159.009924379,1.91440896e+09,3390775650,66539886,5.92
1788848450.717372903,3394.87921,66.544353,159.01932779,1.915219968e+09,3394910045,66544410,5.92
1788848452.747302214,3399.014562,66.549047,159.032084356,1.91608832e+09,3399053563,66549147,5.92
1788848454.781067358,3403.165956,66.553654,159.043751179,1.917149184e+09,3403196735,66553692,5.61
1788848456.810358950,3407.306985,66.561181,159.086394413,1.918480384e+09,3407339846,66561219,5.61
1788848458.840761387,3411.457299,66.567429,159.103385744,1.918210048e+09,3411492376,66567504,5.48
1788848460.873414045,3415.597219,66.570648,159.105814464,1.918529536e+09,3415628158,66570709,5.48
1788848462.903183546,3419.72778,66.576577,159.127592036,1.919393792e+09,3419766848,66576642,5.48
1788848464.937682025,3423.884286,66.588211,159.158507535,1.920454656e+09,3423923070,66588255,5.20
1788848466.971705045,3428.033229,66.592543,159.173442534,1.921314816e+09,3428064353,66592583,5.20
1788848469.002276872,3432.179403,66.597551,159.190576878,1.92192512e+09,3432212227,66597584,5.18
1788848471.032788556,3436.323132,66.603682,159.203736222,1.92294912e+09,3436356162,66603742,5.18
1788848473.064398222,3440.463961,66.610316,159.223962538,1.92280576e+09,3440499041,66610371,5.18
1788848475.097447578,3444.608782,66.614353,159.232123821,1.923661824e+09,3444643493,66614385,5.01
1788848477.128871669,3448.760509,66.618454,159.244614885,1.924657152e+09,3448795262,66618513,5.01
1788848479.160857595,3452.921292,66.635545,159.313831648,1.925545984e+09,3452955204,66635611,5.09
1788848481.193741504,3457.082076,66.642235,159.33691308,1.961009152e+09,3457115362,66642287,5.09
1788848483.224359738,3461.230579,66.651912,159.371433237,1.961897984e+09,3461261163,66652022,5.09
1788848485.253991972,3465.366467,66.655051,159.376823102,1.961209856e+09,3465413499,66655208,4.92
1788848487.293563829,3469.52433,66.661353,159.402849509,1.961480192e+09,3469561335,66661399,4.92
1788848489.325453124,3473.676713,66.666589,159.41275282,1.96212736e+09,3473710930,66666843,4.93
1788848491.357437913,3477.85484,66.67157,159.423245416,1.962848256e+09,3477898021,66671874,4.93
1788848493.396297484,3482.011442,66.681506,159.473929622,1.963085824e+09,3482048204,66681689,4.93
1788848495.429065945,3486.156918,66.68525,159.481481451,1.96401152e+09,3486185850,66685283,4.77
1788848497.458053075,3490.298537,66.689092,159.495425706,1.96354048e+09,3490331590,66689153,4.77
1788848499.488453807,3494.442332,66.69303,159.502472875,1.963700224e+09,3494475141,66693091,4.71
